Timestamp,I spend most of my time working on...,Our builds are fast.,Our codebase is high quality and easy to understand.,{ X } feels brittle.,"When I push code, I am confident it will work the way it did on my local.",We're in a good place with our test coverage.,"If I didn't have to deal with { X }, I'd be much more productive.",It's easy to run an experiment.,{ X } is my biggest obstacle to achieving flow state.,It's easy to use a feature flag?,It's easy to measure the impact of a feature I released.,I wish you asked me about...,I spend most of my time working on the { X } team.,I spend the right amount of time in meetings.
5/26/2021 10:06:41,Back end,2,4,our unit tests,3,3,,3,meetings/interruptions,5,4,,,
5/26/2021 10:07:23,Front end,3,3,,3,3,Manually configuring Airstream review apps. Manually testing for regressions *in production* (more synthetic tests?),2,Not a concern / goal for me personally,2,1,Turning designs into UI,,
5/26/2021 10:07:25,Front end,2,4,,4,4,,2,,3,3,,,
5/26/2021 10:07:33,Front end,3,3,,4,4,,3,,5,4,,,
5/26/2021 10:07:34,Back end,3,2,,2,2,,2,,3,2,,,
5/26/2021 10:07:38,Back end,2,2,discover,2,2,backbone,3,,4,3,,,
5/26/2021 10:08:15,Back end,1,3,"messages, listing pages (things on the roadmap!)",4,3,,3,,4,3,,,
5/26/2021 10:08:17,kind of everywhere (this is kate),3,4,,3,2,the backbone / coffeescript rails FE,3,scattered meetings ,5,3,"i think all these questions depend on the platform -- i think our web builds are pretty fast, but RN is super slow. Same with feature flags / experiments on airstream + PK, its hard there but easy on rails!",,
5/26/2021 10:08:21,Native mobile,2,4,"Check out flow, staging env stability",4,1,Staging env volatility,3,,5,2,,,
5/26/2021 10:08:43,Front end,3,4,Review apps,4,4,Review apps limitations and configuration.,4,Meetings. Changes in hipcamp-reserve that deman unexpected re config,4,5,How collaboration impacts velocity,,
5/26/2021 10:09:28,Native mobile,1,4,,3,1,,3,Fractured time (ie meetings evenly spaced throughout the day,5,4,How best to estimate to align product and eng,,
5/26/2021 10:09:57,local environment spinning up,3,3,Coffeescript on reserve,4,3,,4,,4,3,,,
5/26/2021 10:09:58,Front end,5,3,The tests that are run after I push code to my branch,4,2,still onboarding -- hard to answer this right now,4,still onboarding -- hard to answer this right now,3,3,,,
5/26/2021 10:10:42,Native mobile,1,4,Our release process,5,1,releasing and QA'ing,3,,5,5,,,
5/26/2021 10:11:11,Native mobile,2,3,,4,1,,3,,3,4,,,
5/26/2021 10:11:27,Platform,2,3,some unit tests are flaky,4,2,switching priorities,3,switching priorities,3,4,current tool offerings,,
5/26/2021 10:11:38,Front end,2,3,Payment flow,2,1,typescript,3,typescript,3,3,,,
5/26/2021 10:11:49,Native mobile,4,4,PK offline experience. ,3,1,meetings not grouped together,1,meetings + Slack,3,2,Making Pocketknife a UX award-winning contender + 100% accessible,,
5/26/2021 10:12:04,Platform and Back end,2,3,,3,2,,4,,4,4,,,
5/26/2021 10:12:05,Back end,3,3,,3,3,Issues with my lint installation. ,3,Knowledge sharing/block boxes.,4,4,,,
,,2.45,3.3,,3.4,2.25,,2.95,,3.85,3.3,,,
